super_opeid,opeid,institution_name,superopeid_name,multi
-1,4891,CHURCHMAN BUSINESS SCHOOL,COLLEGES WITH INSUFFICIENT DATA,1
-1,4893,DUBOIS BUSINESS COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4894,ERIE BUSINESS CENTER,COLLEGES WITH INSUFFICIENT DATA,1
-1,4899,MERCY HOSPITAL SCHOOL OF NURSING,COLLEGES WITH INSUFFICIENT DATA,1
-1,4901,NEWPORT BUSINESS INSTITUTE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4914,NEWPORT BUSINESS INSTITUTE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4924,FORREST COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4929,AVERA MCKENNAN HOSPITAL,COLLEGES WITH INSUFFICIENT DATA,1
-1,4938,SOUTH COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4947,WEST TENNESSEE BUSINESS COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4948,TEXAS A&M UNIVERSITY SYSTEM HEALTH SCIENCE CENTER,COLLEGES WITH INSUFFICIENT DATA,1
-1,4949,BAYLOR COLLEGE OF MEDICINE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4951,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,COLLEGES WITH INSUFFICIENT DATA,1
-1,4952,UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,COLLEGES WITH INSUFFICIENT DATA,1
-1,4998,PUGET SOUND CHRISTIAN COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,5007,WEST VIRGINIA JUNIOR COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,5008,MOUNTAIN STATE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,5009,BRYANT & STRATTON COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,5034,AMERICAN UNIVERSITY IN CAIRO (THE),COLLEGES WITH INSUFFICIENT DATA,1
